cust_code,customer_name,doc_date,total_amount
ปท-01,ศ.เครื่องเย็น,2019-03-07,900.00
กท-149,การไฟฟ้านครหลวง (สำนักงานใหญ่),2019-03-07,2750.00
กท-138,ช่างวิเชียร ประชาชื่นซอย 4,2019-03-07,3000.00
นน-245,บริษัท บีเอ็ม ออโต้ เซอร์วิส จำกัด (สำนักงานใหญ่),2019-03-07,15500.00
นน-256,R & W ออโต้คาร์,2019-03-07,1950.00
กท-43,นิวสยามแอร์,2019-03-07,2580.00
นน-278,หนุ่มไดนาโม แอร์ (วัดกู้),2019-03-07,900.00
นน-246,สมคิดออโต้แอร์ ,2019-03-07,3250.00
151,สด,2019-06-17,1380.00
นน-271,อู่ TY GARAGE,2021-01-27,1700.00
นน-186,ร้าน กฤษณะ,2019-04-07,1550.00
151,สด,2019-03-07,1490.00
นน-191,SJ บางกรวย,2019-03-07,560.00
นน-299,เสือ บางกรวย,2019-03-07,2500.00
กท-133,บอย โฟลค์ (BOY VOLK),2019-03-07,3800.00
นน-73,N.K AUTO AIR,2019-03-07,1100.00
นน-83,อู่อ๋า (รัตนาธิเบศร์),2019-03-07,200.00
นน-83,อู่อ๋า (รัตนาธิเบศร์),2019-03-07,190.00
นน-67,ชัยฤทธิ์แอร์,2019-03-07,500.00
กท-50,นิวสยามแอร์   3   แคราย,2019-03-07,600.00
นน-117,มิตรสัมพันธ์,2019-03-07,8150.00
151,สด,2019-06-17,3030.00
นน-199,ร้าน 999 (สวนผัก),2019-03-07,6150.00
นน-238,บริษัท จานทองอะไหล่แอร์ จำกัด,2019-03-07,1020.00
นน-238,บริษัท จานทองอะไหล่แอร์ จำกัด,2019-03-07,1384.00
นน-232,ร้านวิรัตน์ (บางกร่าง),2019-03-07,1200.00
151,สด,2019-03-07,1350.00
นน-252,อู่พร้อม (คุณ คิม),2019-03-07,450.00
นน-283,อู่ BOBBY ,2019-03-07,1000.00
นน-199,ร้าน 999 (สวนผัก),2019-03-07,2200.00
151,สด,2019-06-17,200.00
กท-138,ช่างวิเชียร ประชาชื่นซอย 4,2019-04-07,3450.00
151,สด,2019-04-09,7300.00
151,สด,2019-03-07,12100.00
.......,ร้าน .................................................,2019-03-07,3500.00
นน-191,SJ บางกรวย,2019-03-07,550.00
นน-308,เกรียงชัยออโต้,2019-03-07,1300.00
นน-285,ร้าน ดำรงค์การไฟฟ้า (สามัคคี),2019-03-07,2500.00
กท-132,SP พระราม 7,2019-03-07,5500.00
นน-299,เสือ บางกรวย,2019-03-07,1850.00
กท-01,สุเทพอะไหล่แอร์,2019-03-07,3575.00
กท-50,นิวสยามแอร์   3   แคราย,2019-03-07,2027.39
151,สด,2019-06-17,5250.00
นน-245,บริษัท บีเอ็ม ออโต้ เซอร์วิส จำกัด (สำนักงานใหญ่),2019-03-04,2050.00
นน-198,เทคนิค ออโต้แอร์ (ตรงข้ามโลตัสแคราย),2019-04-09,1680.00
.......,ร้าน .................................................,2019-03-07,3160.00
.......,ร้าน .................................................,2019-03-07,3640.00
นน-122,ร้าน ช่างโรจน์,2019-03-07,1500.00
นน-68,ท.การช่าง,2019-04-10,2600.00
นน-185,อู่ก้องภพ,2019-04-19,2680.00
นน-66,ห้างหุ้นส่วนจำกัด พระนคร ออโต้แอร์ (สำนักงานใหญ่),2019-03-08,4330.00
นน-173,บงกชแอร์,2019-03-06,5890.00
นน-173,บงกชแอร์,2019-03-08,1450.00
กท-138,ช่างวิเชียร ประชาชื่นซอย 4,2019-06-17,3350.00
151,สด,2019-04-12,3800.00
นน-313,ช่าง กิ้ม โมติฟาย,2019-03-08,1000.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-08,3950.00
นน-64,อมรทรัพย์ยนต์,2019-03-08,1430.00
นน-312,ร้าน น้อยหม้อน้ำ,2019-03-08,3220.00
นน-282,ร้าน นันท์ออโต้แอร์ (สติ๊กเกอร์),2019-03-08,3700.00
151,สด,2019-03-08,900.00
นน-101,อู่เอ็ม  ไทรม้า,2019-03-08,450.00
นน-246,สมคิดออโต้แอร์ ,2019-03-08,750.00
นน-55,BMW (คุณกิตติพงษ์)นนทบุรี,2019-03-08,3650.00
นน-194,มิตรถาวร,2019-06-17,380.00
นน-231,เจ.เอส.แอร์ (เมืองทอง),2019-04-10,6000.00
นน-71,บัญชาแอร์ (ปากเกร็ด),2019-04-09,2850.00
กท-14,บริษัท ไปรษณีย์ไทย จำกัด (สำนักงานใหญ่),2019-03-08,320.00
นน-157,พฤธาแอร์,2019-04-11,900.00
